,0
PCPIF_PC_CP_A_PT,"Food and non-alcoholic beverages, Percentage change, Previous year"
PCPIFBT_PC_CP_A_PT,"Alcoholic Beverages, Tobacco, and Narcotics, Percentage change, Previous year"
PCPIA_PC_CP_A_PT,"Clothing and footwear, Percentage change, Previous year"
PCPIH_PC_CP_A_PT,"Housing, Water, Electricity, Gas and Other Fuels, Percentage change, Previous year"
PCPIHO_PC_CP_A_PT,"Furnishings, household equipment and routine household maintenance, Percentage change, Previous year"
PCPIM_PC_CP_A_PT,"Health, Percentage change, Previous year"
PCPIT_PC_CP_A_PT,"Transport, Percentage change, Previous year"
PCPIEC_PC_CP_A_PT,"Communication, Percentage change, Previous year"
PCPIR_PC_CP_A_PT,"Recreation and culture, Percentage change, Previous year"
PCPIED_PC_CP_A_PT,"Education, Percentage change, Previous year"
PCPIRE_PC_CP_A_PT,"Restaurants and hotels, Percentage change, Previous year"
PCPIO_PC_CP_A_PT,"Miscellaneous goods and services, Percentage change, Previous year"
PCPIHA_SRP_IX,"Consumer Price Index, All items, Harmonized, Standard Reference Period"
PCPIHAF_SRP_IX,"Food and non-alcoholic beverages, Harmonized, Standard Reference Period"
PCPIHABT_SRP_IX,"Alcoholic Beverages, Tobacco, and Narcotics, Harmonized, Standard Reference Period"
PCPIHAA_SRP_IX,"Clothing and footwear, Harmonized, Standard Reference Period"
PCPIHAH_SRP_IX,"Housing, Water, Electricity, Gas and Other Fuels, Harmonized, Standard Reference Period"
PCPIHAHO_SRP_IX,"Furnishings, household equipment and routine household maintenance, Harmonized, Standard Reference Period"
PCPIHAM_SRP_IX,"Health, Harmonized, Standard Reference Period"
PCPIHAT_SRP_IX,"Transport, Harmonized, Standard Reference Period"
PCPIHAC_SRP_IX,"Communication, Harmonized, Standard Reference Period"
PCPIHARC_SRP_IX,"Recreation and culture, Harmonized, Standard Reference Period"
PCPIHAED_SRP_IX,"Education, Harmonized, Standard Reference Period"
PCPIHARE_SRP_IX,"Restaurants and hotels, Harmonized, Standard Reference Period"
PCPIHAO_SRP_IX,"Miscellaneous goods and services, Harmonized, Standard Reference Period"
PCPIHA_PC_PP_PT,"Consumer Price Index, All items, Harmonized, Percentage change, Previous period"
PCPIHAF_PC_PP_PT,"Food and non-alcoholic beverages, Harmonized, Percentage change, Previous period"
PCPIHABT_PC_PP_PT,"Alcoholic Beverages, Tobacco, and Narcotics, Harmonized, Percentage change, Previous period"
PCPIHAA_PC_PP_PT,"Clothing and footwear, Harmonized, Percentage change, Previous period"
PCPIHAH_PC_PP_PT,"Housing, Water, Electricity, Gas and Other Fuels, Harmonized, Percentage change, Previous period"
PCPIHAHO_PC_PP_PT,"Furnishings, household equipment and routine household maintenance, Harmonized, Percentage change, Previous period"
PCPIHAM_PC_PP_PT,"Health, Harmonized, Percentage change, Previous period"
PCPIHAT_PC_PP_PT,"Transport, Harmonized, Percentage change, Previous period"
PCPIHAC_PC_PP_PT,"Communication, Harmonized, Percentage change, Previous period"
PCPIHARC_PC_PP_PT,"Recreation and culture, Harmonized, Percentage change, Previous period"
PCPIHAED_PC_PP_PT,"Education, Harmonized, Percentage change, Previous period"
PCPIHARE_PC_PP_PT,"Restaurants and hotels, Harmonized, Percentage change, Previous period"
PCPIHAO_PC_PP_PT,"Miscellaneous goods and services, Harmonized, Percentage change, Previous period"
PCPIHA_PC_CP_A_PT,"Consumer Price Index, All items, Harmonized, Percentage change, Previous year"
PCPIHAF_PC_CP_A_PT,"Food and non-alcoholic beverages, Harmonized, Percentage change, Previous year"
PCPIHABT_PC_CP_A_PT,"Alcoholic Beverages, Tobacco, and Narcotics, Harmonized, Percentage change, Previous year"
PCPIHAA_PC_CP_A_PT,"Clothing and footwear, Harmonized, Percentage change, Previous year"
PCPIHAH_PC_CP_A_PT,"Housing, Water, Electricity, Gas and Other Fuels, Harmonized, Percentage change, Previous year"
PCPIHAHO_PC_CP_A_PT,"Furnishings, household equipment and routine household maintenance, Harmonized, Percentage change, Previous year"
PCPIHAM_PC_CP_A_PT,"Health, Harmonized, Percentage change, Previous year"
PCPIHAT_PC_CP_A_PT,"Transport, Harmonized, Percentage change, Previous year"
PCPIHAC_PC_CP_A_PT,"Communication, Harmonized, Percentage change, Previous year"
PCPIHARC_PC_CP_A_PT,"Recreation and culture, Harmonized, Percentage change, Previous year"
PCPIHAED_PC_CP_A_PT,"Education, Harmonized, Percentage change, Previous year"
PCPIHARE_PC_CP_A_PT,"Restaurants and hotels, Harmonized, Percentage change, Previous year"
PCPIHAO_PC_CP_A_PT,"Miscellaneous goods and services, Harmonized, Percentage change, Previous year"
PCPIF_WT_PT,"Food and non-alcoholic beverages, Weight, Percent"
PCPIFBT_WT_PT,"Alcoholic Beverages, Tobacco, and Narcotics, Weight, Percent"
PCPIA_WT_PT,"Clothing and footwear, Weight, Percent"
PCPIH_WT_PT,"Housing, Water, Electricity, Gas and Other Fuels, Weight, Percent"
PCPIHO_WT_PT,"Furnishings, household equipment and routine household maintenance, Weight, Percent"
PCPIM_WT_PT,"Health, Weight, Percent"
PCPIT_WT_PT,"Transport, Weight, Percent"
PCPIEC_WT_PT,"Communication, Weight, Percent"
PCPIR_WT_PT,"Recreation and culture, Weight, Percent"
PCPIED_WT_PT,"Education, Weight, Percent"
PCPIRE_WT_PT,"Restaurants and hotels, Weight, Percent"
PCPIO_WT_PT,"Miscellaneous goods and services, Weight, Percent"
PCPIHAA_WT_PT,"Clothing and footwear, Harmonized, Weight, Percent"
PCPIHABT_WT_PT,"Alcoholic Beverages, Tobacco, and Narcotics, Harmonized, Weight, Percent"
PCPIHAC_WT_PT,"Communication, Harmonized, Weight, Percent"
PCPIHAED_WT_PT,"Education, Harmonized, Weight, Percent"
PCPIHAF_WT_PT,"Food and non-alcoholic beverages, Harmonized, Weight, Percent"
PCPIHAHO_WT_PT,"Furnishings, household equipment and routine household maintenance, Harmonized, Weight, Percent"
PCPIHAH_WT_PT,"Housing, Water, Electricity, Gas and Other Fuels, Harmonized, Weight, Percent"
PCPIHAM_WT_PT,"Health, Harmonized, Weight, Percent"
PCPIHAO_WT_PT,"Miscellaneous goods and services, Harmonized, Weight, Percent"
PCPIHARC_WT_PT,"Recreation and culture, Harmonized, Weight, Percent"
PCPIHARE_WT_PT,"Restaurants and hotels, Harmonized, Weight, Percent"
PCPIHAT_WT_PT,"Transport, Harmonized, Weight, Percent"
